text,start,end,movie,scaled_start,scaled_end,cmd_filename,imdbid,movie_title,cmd_clip_idx
Emmerich's eyebrows twitch as he watches her.,1395.463,1397.345,7212,4.380339880908643,6.380339880908643,2014/ewEreSjPyC4,tt0042208,The Asphalt Jungle,1
The woman groggily opens her eyes and sees him standing over her.,1397.926,1400.828,7212,6.901513366324222,9.80193745,2014/ewEreSjPyC4,tt0042208,The Asphalt Jungle,1
She smiles.,1401.108,1401.769,7212,9.412105920544011,11.412105920544011,2014/ewEreSjPyC4,tt0042208,The Asphalt Jungle,1
Emmerich cocks an eyebrow.,1402.089,1403.17,7212,10.602459153875207,12.602459153875207,2014/ewEreSjPyC4,tt0042208,The Asphalt Jungle,1
Her eyes follow him as he moves to an armchair.,1418.403,1420.465,7212,27.367393432589854,29.42827367367192,2014/ewEreSjPyC4,tt0042208,The Asphalt Jungle,1
The blonde sits up on the sofa and smiles.,1420.685,1422.726,7212,29.64815420375831,31.688045848786945,2014/ewEreSjPyC4,tt0042208,The Asphalt Jungle,1
She stretches and yawns.,1434.494,1435.715,7212,43.05982376548685,45.05982376548685,2014/ewEreSjPyC4,tt0042208,The Asphalt Jungle,1
The blonde saunters over to him in her striped pantsuit and leans in for a kiss.,1441.92,1445.544,7212,50.871622641866985,54.49365464656234,2014/ewEreSjPyC4,tt0042208,The Asphalt Jungle,1
"As their lips lock, Emmerich sweeps an arm around her shoulders and dips her onto her back.",1446.264,1450.368,7212,55.21326365411751,59.315034997183126,2014/ewEreSjPyC4,tt0042208,The Asphalt Jungle,1
"The blonde pushes him away, then flashes a courteous smile.",1451.029,1453.892,7212,59.97567604,62.83712130638477,2014/ewEreSjPyC4,tt0042208,The Asphalt Jungle,1
"She gets up, taps his hand affectionately, and walks off.",1454.472,1457.375,7212,63.41680634024874,66.31822988043379,2014/ewEreSjPyC4,tt0042208,The Asphalt Jungle,1
Emmerich shakes his head as he watches her go.,1458.016,1459.898,7212,66.89937078314571,68.89937078314571,2014/ewEreSjPyC4,tt0042208,The Asphalt Jungle,1
The blonde crosses the hall to a bedroom.,1467.223,1469.044,7212,76.07088753013436,78.07088753013436,2014/ewEreSjPyC4,tt0042208,The Asphalt Jungle,1
"Keeping her gaze on Emmerich, she slowly swings the door shut.",1469.544,1472.545,7212,78.48062156507449,81.47999188684341,2014/ewEreSjPyC4,tt0042208,The Asphalt Jungle,1
Dix takes a drag on his cigarette.,2637.518,2639.018,7212,90.32744550538584,92.32744550538584,2014/48kV7uKAzEU,tt0042208,The Asphalt Jungle,2
Doc turns.,3257.716,3258.497,7212,1.6044999999999172,3.604499999999917,2014/-nboVp_nTkg,tt0042208,The Asphalt Jungle,3
"Louie pounds into the safe lock with his chisel and sledgehammer, then swings open the heavy outer doors.",3265.622,3270.445,7212,10.119999999999896,14.943000000000218,2014/-nboVp_nTkg,tt0042208,The Asphalt Jungle,3
Inside is a second pair of doors.,3270.926,3272.687,7212,15.304499999999967,17.30449999999997,2014/-nboVp_nTkg,tt0042208,The Asphalt Jungle,3
Louis selects a lockpick from his ring and quickly gets them open.,3277.588,3280.45,7212,22.08600000000025,24.94799999999988,2014/-nboVp_nTkg,tt0042208,The Asphalt Jungle,3
"He glances at Doc with a smile, then moves out of the way.",3280.931,3283.933,7212,25.42900000000009,28.43100000000005,2014/-nboVp_nTkg,tt0042208,The Asphalt Jungle,3
