text_gt,text_gt_wo_char
Paul bends to put his things under the bed and spots a pair of leather boots.,He bends to put his things under the bed and spots a pair of leather boots.
He holds the soul of one against his foot.,He holds the soul of one against his foot.
Paul nudges Muller.,He nudges him.
The others glare at him.,They glare at him.
He drops the boots.,He drops the boots.
"His eyes widen, then he checks in the folds of the dead man's coat.","His eyes widen, then he checks in the folds of the dead man's coat."
"He finds a pocketbook with the soldier's name printed on the front, Gerald Duval.",He finds a pocketbook with his name printed on the front.
Inside the book there's a photograph of a woman and a little girl.,Inside the book there's a photograph of her and her.
Paul turns wearily to face the schoolboys.,He turns wearily to face them.
The boys are confused.,They are confused.
The professors are prized No.,they are prized No.
She kisses him gently on the lips.,She kisses him gently on the lips.
"She bows her head, then gets up and slowly heads out of Paul's bedroom.","She bows her head, then gets up and slowly heads out of his bedroom."
Paul watches as she shuts the door.,He watches her shut the door.
He left Scott onto his shoulders.,He left him onto his shoulders.
"As Paul heads through the muddy field with Scott over his shoulders, the plane continues to circle.","As he heads through the muddy field with him over his shoulders, the plane continues to circle."
Another shell lands nearby.,Another shell lands nearby.
Port pauses.,He pauses.
He doesn't spot Cat's head drop.,He doesn't spot her head drop.
He carries Cat into a medical tent.,He carries her into a medical tent.
Paul hunkers down beside the stretcher and brings a glass of water to Cat's lips.,He hunkers down beside the stretcher and brings a glass of water to her lips.
"Tilting Cat's head, Paul discovers blood on his fingers.","Tilting her head, he discovers blood on his fingers."
Paul takes the book.,He takes the book.
The medic joins a colleague at a table and writes some notes.,He joins a colleague at a table and writes some notes.
"Uh, Kropov Stanislaw, Kaczynski, Paul gets up and slopes out of the tent.","Uh, he gets up and slopes out of the tent."
Villagers watch as the coach pulls to a stop and the passengers climb out.,They watch as the coach pulls to a stop and the passengers climb out.
"A slight young man wearing a three-piece suit and a narrow, brimmed white hat points a cane.",He points a cane.
The porter's eyes widen.,His eyes widen.
The innkeeper gapes and shoots the young man a worried stare.,The innkeeper gapes and shoots him a worried stare.
The innkeeper joins him.,The innkeeper joins him.
"Nearby, a woman wearing a black shawl crosses herself.","Nearby, she crosses herself."
"The young man observes her, then faces the wide-eyed innkeeper.","He observes her, then faces the wide-eyed innkeeper."
A man gestures from the tavern store.,He gestures from the tavern store.
The innkeeper points to the horizon.,He points to the horizon.
It sits low in the sky.,It sits low in the sky.
The young gentleman starts after him.,He starts after him.
The young man removes his hat.,He removes his hat.
"With a tight-lipped smile, Dracula sweeps an open hand toward the stairs and turns to go.","With a tight-lipped smile, he sweeps an open hand toward the stairs and turns to go."
The young man's eyes widen in a mesmerized stare.,His eyes widen in a mesmerized stare.
The visitor turns his head slowly.,He turns his head slowly.
"Eyes on the window, he starts back up the stairs.","Eyes on the window, he starts back up the stairs."
"When he looks up, Dracula has passed through the enormous spider web, leaving it intact.","When he looks up, he has passed through the enormous spider web, leaving it intact."
"The young gentleman stops, gazing up at his host.","He stops, gazing up at him."
