anno_idx,imdbid,text_gt,text_gt_wo_char,gt_action
0,tt0286106,"A set of swings and a climbing frame stand in a rural backyard, along with a picnic table and a brick barbecue.","A set of swings and a climbing frame stand in a rural backyard, along with a picnic table and a brick barbecue.","['A set of swings and a climbing frame stand in a rural backyard.', 'A picnic table stands in a rural backyard.', 'A brick barbecue stands in a rural backyard.']"
1,tt0286106,An upstairs window looks out over the scene.,An upstairs window looks out over the scene.,['An upstairs window looks out over the scene.']
2,tt0286106,Inside a framed photo on a bedside table shows a smiling family.,Inside a framed photo on a bedside table shows a smiling family.,['Inside a framed photo on a bedside table shows a smiling family.']
3,tt0286106,"Mum, dad, and a young boy and girl.",They.,['They.']
4,tt0286106,The dad wears a clerical collar.,He wears a clerical collar.,['He wears a clerical collar.']
5,tt0286106,"Suddenly, the same man leans up on his elbows in bed.","Suddenly, he leans up on his elbows in bed.",['He leans up on his elbows in bed.']
6,tt0286106,His eyes darting feverishly around the simply furnished room.,His eyes darting feverishly around the simply furnished room.,['His eyes dart feverishly around the simply furnished room.']
7,tt0286106,Graham relaxes and sits up.,He relaxes and sits up.,"['He relaxes.', 'He sits up.']"
8,tt0286106,"The man, Graham Hess comes out of his bedroom wearing a black t-shirt and pajama bottoms.",He comes out of his bedroom wearing a black t-shirt and pajama bottoms.,"['He comes out of his bedroom.', 'He is wearing a black t-shirt and pajama bottoms.']"
9,tt0286106,Graham walks along the landing in his bare feet and comes to a closed door with some hand drawn children's pictures stuck to it.,He walks along the landing in his bare feet and comes to a closed door with some hand drawn children's pictures stuck to it.,"['He walks along the landing in his bare feet.', ""He comes to a closed door with some hand drawn children's pictures stuck to it.""]"
10,tt0286106,Graham pauses for a moment to listen at the door.,He pauses for a moment to listen at the door.,"['He pauses for a moment.', 'He listens at the door.']"
11,tt0286106,"Then, returns to his bedroom, picking up some discarded socks on the way.","Then, returns to his bedroom, picking up some discarded socks on the way.","['He returns to his bedroom.', 'He picks up some discarded socks on the way.']"
12,tt0286106,Graham is in his mid-40s with short dark hair and a rugged handsome face.,He is in his mid-40s with short dark hair and a rugged handsome face.,"['He is in his mid-40s.', 'He has short dark hair.', 'He has a rugged handsome face.']"
13,tt0286106,"Graham crosses the bathroom and stares out of the door, his toothbrush in his mouth.","He crosses the bathroom and stares out of the door, his toothbrush in his mouth.","['He crosses the bathroom.', 'He stares out of the door.', 'He has his toothbrush in his mouth.']"
14,tt0286106,"Graham strides across the landing, opens the door to the children's room and glances around.","He strides across the landing, opens the door to the children's room and glances around.","['He strides across the landing.', ""He opens the door to the children's room."", 'He glances around.']"
15,tt0286106,"A younger man in a similar rural style bedroom, suddenly, jolts and tumbles out of bed.","A younger man in a similar rural style bedroom, suddenly, jolts and tumbles out of bed.","['A younger man in a similar rural style bedroom suddenly jolts.', 'He tumbles out of bed.']"
16,tt0286106,Merrill jumps to his feet and strains to listen.,He jumps to his feet and strains to listen.,"['He jumps to his feet.', 'He strains to listen.']"
