text_gt,text_gt_wo_char
Her mind wanders for a beat.,Her mind wanders for a beat.
Jane looks at us and sits up.,She looks at us and sits up.
"We are FLYING above suburban America, DESCENDING SLOWLY toward a tree-lined street.","We are FLYING above suburban America, DESCENDING SLOWLY toward a tree-lined street."
"We are looking down at a king-sized BED from OVERHEAD: Lester Burnham lies sleeping amidst expensive bed linens, face down, wearing PAJAMAS.","We are looking down at a king-sized BED from OVERHEAD: He lies sleeping amidst expensive bed linens, face down, wearing PAJAMAS."
An irritating ALARM CLOCK RINGS.,An irritating alarm clock rings.
Lester gropes blindly to shut it off.,He gropes blindly to shut it off.
"Lester rolls over, looks up at us and sighs.","He rolls over, looks up at us and sighs."
Lester sits up and puts on his slippers.,He puts on his slippers.
Lester thrusts his face directly into a steaming hot shower.,He thrusts his face directly into a steaming hot shower.
ANGLE from outside the shower: Lester naked body is silhouetted through the fogged-up glass door.,ANGLE from outside the shower: He naked body is silhouetted through the fogged-up glass door.
It becomes apparent Lester is masturbating.,It becomes apparent he is masturbating.
"CLOSE on a single, dewy AMERICAN BEAUTY ROSE.","A close-up on a single, dewy American Beauty rose."
A gloved hand with CLIPPERS appears and SNIPS the flower off.,A gloved hand with CLIPPERS appears and SNIPS the flower off.
Carolyn Burnham tends her rose bushes in front of the Burnham house.,She tends her rose bushes in front of the Burnham house.
"A very well-put together woman of forty, Carolyn wears color-coordinated gardening togs and has lots of useful and expensive tools.","A very well-put together woman of forty, she wears color-coordinated gardening togs and has lots of useful and expensive tools."
"Lester watches her through a WINDOW on the first floor, peeping out through the drapes.","He watches her through a WINDOW on the first floor, peeping out through the drapes."
"In the fenced front yard of the house next door, a dog BARKS repeatedly.","In the fenced front yard of the house next door, a dog BARKS repeatedly."
A MAN in a conservative suit Jim #1) chastises the barking dog.,A MAN in a conservative suit he chastises the barking dog.
A second MAN in a conservative suit Jim #2) comes out of the house.,A second man in a conservative suit comes out of the house.
Lester watches all this from the window.,He watches all this from the window.
Jim #1 walks toward the fence to greet Carolyn,He walks toward the fence to greet her.
"Jim #1 and Carolyn continue to chat, unaware that Lester is watching them.","He continues to chat, unaware that he is watching them."
"Jane is seated at her desk, working at her computer.","She is seated at her desk, working at her computer."
"Outside, a CAR HORN BLARES.","Outside, a CAR HORN BLARES."
Jane stuffs items into her .,She stuffs items into her.
"Jane studies herself in a mirror, then shifts to get a good profile of her breasts.","She studies herself in a mirror, then shifts to get a good profile of her breasts."
"Jane shuffles out of the house, her backpack slung over her shoulder.","She shuffles out of the house, her backpack slung over her shoulder."
"Lester hurries out the front door, carrying a BRIEFCASE.","He hurries out the front door, carrying a briefcase."
Jane gets in the car.,She gets in the car.
Lester briefcase suddenly springs open and his papers spill all over the driveway.,His briefcase suddenly springs open and his papers spill all over the driveway.
Lester drops to his knees to gather everything.,He drops to his knees to gather everything.
"Carolyn looks down at us, contemptuous but also bored, as if Carolyn gave up expecting anything more long ago.","She looks down at us, contemptuous but also bored, as if she gave up expecting anything more long ago."
"Lester smiles sheepishly, trying to lighten the moment.","He smiles sheepishly, trying to lighten the moment."
Carolyn is driving; Jane stares out the window.,She is driving; he stares out the window.
Lester is asleep in the back seat.,He is asleep in the back seat.
Lester is staring at a computer monitor and talking on a HEADSET PHONE.,He is staring at a computer monitor and talking on a HEADSET PHONE.
"The beleaguered expression on his face is at odds with the light, friendly tone of his voice.","The beleaguered expression on his face is at odds with the light, friendly tone of his voice."
"Lester sits at his workstation, a BEIGE CUBICLE surrounded by IDENTICAL BEIGE CUBICLES.","He sits at his workstation, a BEIGE CUBICLE surrounded by IDENTICAL BEIGE CUBICLES."
"Brad a dapper man in his thirties, approaches and observes Lester who is unaware of his presence.",He approaches and observes him who is unaware of his presence.
"Lester disconnects the call, obviously irritated.","He disconnects the call, obviously irritated."
"Lester turns around, smiling perfunctorily.","He turns around, smiling perfunctorily."
Brad is seated behind his desk in his big corner office.,He is seated behind his desk in his big corner office.
"Lester sits across from him, looking small and isolated.","He sits across from him, looking small and isolated."
"Brad stands, ready to usher Lester out.","He stands, ready to usher him out."
"Lester stares at him, powerless.","He stares at him, powerless."
A MOVING VAN is parked in front of the COLONIAL HOUSE next door to the Burnhams'.,A MOVING VAN is parked in front of the COLONIAL HOUSE next door to their.
The Mercedes-Benz pulls into the Burnham driveway.,The Mercedes-Benz pulls into the driveway.
"Carolyn drives, Lester is in the passenger seat.","He drives, she is in the passenger seat."
"As they get out of the car, Carolyn scopes out the MOVERS next door.","As they get out of the car, she scopes out them next door."
Movers carry furniture toward the house.,They carry furniture toward the house.
"Carolyn heads into the house, followed by Lester","She heads into the house, followed by him."
Lester Carolyn and Jane are eating dinner by CANDLELIGHT.,They are eating dinner by CANDLELIGHT.
RED ROSES are bunched in a vase at the center of the table.,Inside is a second pair of doors.
Lester suddenly turns to Jane,He suddenly turns to her.
Now Jane looks at him as if Lester has lost his mind.,Now she looks at him as if he has lost his mind.
Carolyn is watching this closely.,She is watching this closely.
Jane gets up and heads toward the kitchen.,She gets up and heads toward the kitchen.
Jane is gone.,She is gone.
Lester notices Carolyn looking at him critically.,He notices her looking at him critically.
"Lester is quiet, staring at his plate.","He is quiet, staring at his plate."
Lester gets up and starts after Jane taking his plate with him.,He gets up and starts after her taking his plate with him.
"Jane stands at the sink, rinsing off her plate.","She stands at the sink, rinsing off her plate."
Lester enters.,He enters.
"Jane turns and stares at him, waiting for him to finish.","She turns and stares at him, waiting for him to finish."
"Lester is looking to her for a little help here, but Jane is too uncomfortable with this sudden intimacy to give him any.","He is looking to her for a little help here, but she is too uncomfortable with this sudden intimacy to give him any."
"We are looking through GREENHOUSE WINDOWS at Lester and Jane in the kitchen We can't hear what they are saying, but it's obvious it's not going well.",We are looking through GREENHOUSE WINDOWS at them They can't hear what they are saying but it's obvious it's not going well
Jane puts her plate in the dishwasher and leaves.,She puts her plate in the dishwasher and leaves.
"We FOLLOW HER out the door, then the camera JERKS back to Lester calling after her.","We follow her out the door, then the camera jerks back to him calling after her."
"His POV, on VIDEO: Through the kitchen window, we see Lester at the sink, rinsing off his plate, muttering to himself.","His POV, on VIDEO: Through the kitchen window, we see him at the sink, rinsing off his plate, muttering to himself."
CLOSE on the face of Ricky Fitts illuminated by the screen of his DIGICAM as Ricky videotapes.,CLOSE on his face illuminated by the screen of his DIGICAM as he videotapes.
"Ricky is eighteen, but his eyes are much older.",His eyes are much older.
Beneath his Zen-like tranquillity lurks something wounded.,Beneath his Zen-like tranquillity lurks something wounded.
"Lester turns off the faucet,",He turns off the faucet.
"We are looking out through the kitchen window at the point where Ricky was just standing, but Ricky is no longer there.","We are looking out through the kitchen window at the point where he was just standing, but he is no longer there."
"His head suddenly jerks up and Lester looks at us, as if Lester realizes Lester is being watched.","His head suddenly jerks up and he looks at us, as if he realizes he is being watched."
"dries his hands,","He dries his hands,"
"then tosses the towel on the counter on his way out,",then tosses the towel on the counter on his way out
where it lands next to a framed PHOTOGRAPH of Lester Carolyn and a much-younger Jane taken several years earlier at an amusement park.,where it lands next to a framed PHOTOGRAPH of him and a much-younger her taken several years earlier at an amusement park.
"Throughout all this, Carolyn keeps repeating to herself.","Throughout all this, she keeps repeating to herself."
"Carolyn neatly arranges her sales materials on a desk, then strips down to her undergarments.","She neatly arranges her sales materials on a desk, then strips down to her undergarments."
We see Carolyn working with fierce concentration as she: Cleans glass doors that overlook the patio and pool; Doggedly scrubs countertops in the kitchen; Perches on a stepladder to dust a cheap-looking ceiling fan in the master bedroom; And vacuums a dirty carpet that will never be clean.,We see her working with fierce concentration as she: Cleans glass doors that overlook the patio and pool; Doggedly scrubs countertops in the kitchen; Perches on a stepladder to dust a cheap-looking ceiling fan in the master bedroom; And vacuums a dirty carpet that will never be clean.
"Carolyn stands in front of the mirror, wearing her suit once more, applying lipstick.","She stands in front of the mirror, wearing her suit once more, applying lipstick."
Carolyn stares at her reflection critically.,She stares at her reflection critically.
"Carolyn says this as if it were a threat, then notices a smudge on the mirror and wipes it off.","She says this as if it were a threat, then notices a smudge on the mirror and wipes it off."
The front door opens to reveal Carolyn greeting us with the smile Carolyn thinks could sell ice to an Eskimo.,The front door opens to reveal her greeting them with the smile she thinks could sell ice to an Eskimo.
"Smiling, Carolyn leads a man and woman into the living room.","Smiling, he leads a man and woman into the living room."
"They are thirtyish, and they've seen a lot of houses today.","They are thirtyish, and they've seen a lot of houses today."
"The man and woman glance around the dark room, unimpressed.","They glance around the dark room, unimpressed."
"The woman wrinkles her face, skeptical.","She wrinkles her face, skeptical."
"Carolyn enters, followed by a different couple in their fifties.","She enters, followed by a different couple in their fifties."
"Carolyn stands with a different couple: African American, late twenties.","She stands with a different couple: African American, late twenties."
The woman is pregnant.,She is pregnant.
Carolyn stands by the pool next to two fortyish WOMEN.,She stands by the pool next to two fortyish women.
"Carolyn locks the sliding glass door and starts to pull the vertical blinds shut, then stops.","She locks the sliding glass door and starts to pull the vertical blinds shut, then stops."
